Household Income,Median Age,Per Capita Income,Population,Poverty Count,Poverty Rate,Unemployment Count,Unemployment Rate,state,year
58433.0,36.1,31109.0,5119329.0,660874.0,12.909387148198526,231741.0,4.5267846625993355,CO,2013
69461.0,40.2,37892.0,3583561.0,354348.0,9.888153152688067,190709.0,5.321773509645852,CT,2013
59878.0,38.9,29819.0,908446.0,103633.0,11.40772263843971,41207.0,4.535987829766436,DE,2013
65830.0,33.8,45290.0,619371.0,109200.0,17.630789946574833,38994.0,6.295741970482958,DC,2013
46956.0,41.0,26236.0,19091156.0,3052807.0,15.990686996638653,1096028.0,5.741024797031673,FL,2013
49179.0,35.6,25182.0,9810417.0,1736680.0,17.702407553114202,544802.0,5.553301149176432,GA,2013
67402.0,38.3,29305.0,1376298.0,149531.0,10.864725517293492,48748.0,3.5419654755002186,HI,2013
46767.0,34.9,22568.0,1583364.0,240298.0,15.176421846145296,67189.0,4.243433600864994,ID,2013
56797.0,36.8,29666.0,12848554.0,1772333.0,13.794026938751239,700616.0,5.452878199367803,IL,2013
48248.0,37.1,24635.0,6514861.0,969881.0,14.887209412449474,315476.0,4.842405693690164,IN,2013
51843.0,38.1,27027.0,3062553.0,367414.0,11.996984215456846,94913.0,3.0991463657935063,IA,2013
51332.0,36.0,26929.0,2868107.0,382820.0,13.34747971397162,104341.0,3.637974454927937,KS,2013
43036.0,38.2,23462.0,4361333.0,796202.0,18.255932303266,201987.0,4.631313408079594,KY,2013
44874.0,36.0,24442.0,4567968.0,846780.0,18.537345270369673,192166.0,4.206815809567843,LA,2013
48453.0,43.2,26824.0,1328320.0,175624.0,13.221512888460612,53866.0,4.055197542760781,ME,2013
73538.0,38.0,36354.0,5834299.0,558329.0,9.569770078633267,260567.0,4.466123522294623,MD,2013
66866.0,39.2,35763.0,6605058.0,725351.0,10.981750652303125,322730.0,4.88610395245583,MA,2013
48411.0,39.1,25681.0,9886095.0,1625982.0,16.44716139183368,616469.0,6.235717945255432,MI,2013
59836.0,37.6,30913.0,5347740.0,598391.0,11.189605328606103,210815.0,3.9421325644103855,MN,2013
39031.0,36.2,20618.0,2976872.0,653321.0,21.946560013329425,149148.0,5.0102254984426615,MS,2013
47380.0,38.0,25649.0,6007182.0,900929.0,14.997531288381143,267644.0,4.4554002192708655,MO,2013
46230.0,39.9,25373.0,998554.0,148528.0,14.874308249729106,37702.0,3.775659603787076,MT,2013
51672.0,36.3,26899.0,1841625.0,228789.0,12.423213194868662,57525.0,3.1236000814498066,NE,2013
52800.0,36.6,26589.0,2730066.0,403314.0,14.773049442760724,175142.0,6.415302780225827,NV,2013
64916.0,41.5,33134.0,1319171.0,110859.0,8.403686860914924,51670.0,3.916853842299444,NH,2013
71629.0,39.1,36027.0,8832406.0,900583.0,10.196349669614374,472094.0,5.345021503766923,NJ,2013
44927.0,36.7,23763.0,2069706.0,413801.0,19.99322609104868,94111.0,4.547070936645109,NM,2013
58003.0,38.1,32382.0,19487053.0,2903982.0,14.902109621193109,921607.0,4.729329776031296,NY,2013
46334.0,37.6,25284.0,9651380.0,1643389.0,17.027502802708007,527430.0,5.464814358153964,NC,2013
53741.0,36.4,29732.0,689781.0,79433.0,11.515683963460866,12617.0,1.8291312749988764,ND,2013
48308.0,39.0,26046.0,11549590.0,1773853.0,15.358579828374861,582953.0,5.047391292677922,OH,2013
45339.0,36.2,24208.0,3785742.0,618683.0,16.34245017225157,127842.0,3.3769337688622203,OK,2013
50229.0,38.7,26809.0,3868721.0,614778.0,15.890988262012177,221191.0,5.717419271123455,OR,2013
52548.0,40.3,28502.0,12731381.0,1638820.0,12.872287774594133,581533.0,4.567713431873573,PA,2013
56361.0,39.6,30469.0,1051695.0,137244.0,13.049791051588151,56125.0,5.336623260546071,RI,2013
44779.0,38.1,23943.0,4679602.0,820308.0,17.529439469424965,258444.0,5.5227773643997935,SC,2013
49495.0,36.9,25740.0,825198.0,112086.0,13.582921916921757,22250.0,2.6963225795506047,SD,2013
44298.0,38.2,24409.0,6402387.0,1101732.0,17.20814439989335,316682.0,4.946311430408691,TN,2013
51900.0,33.8,26019.0,25639373.0,4416829.0,17.226743415293345,1020132.0,3.9787712437429734,TX,2013
58821.0,29.6,23873.0,2813673.0,350205.0,12.446542295426655,101449.0,3.605571791746944,UT,2013
54267.0,42.0,29167.0,625904.0,70873.0,11.323301976021886,23546.0,3.7619187607045173,VT,2013
63907.0,37.5,33493.0,8100653.0,887595.0,10.957079632962923,303129.0,3.7420316609043742,VA,2013
59478.0,37.3,30742.0,6819579.0,893211.0,13.09774401029741,327155.0,4.797290272610669,WA,2013
41043.0,41.5,22966.0,1853619.0,321546.0,17.346930518083813,69351.0,3.741383747145449,WV,2013
52413.0,38.7,27523.0,5706871.0,723730.0,12.68173049644893,239464.0,4.196064708664345,WI,2013
57406.0,36.8,28902.0,570134.0,63743.0,11.180354092195868,16760.0,2.9396597992752582,WY,2013
19624.0,37.5,11068.0,3682966.0,1644128.0,44.641411297307656,247824.0,6.728924459253764,PR,2013
43511.0,38.2,23936.0,4817678.0,889710.0,18.46761033012169,228716.0,4.747432269238417,AL,2014
71829.0,33.4,33129.0,728300.0,71866.0,9.867636962790057,32097.0,4.407112453659207,AK,2014
49928.0,36.5,25537.0,6561516.0,1169309.0,17.820713993534422,304067.0,4.634096754469546,AZ,2014
41264.0,37.6,22595.0,2947036.0,549303.0,18.63916830333936,115090.0,3.905279745479865,AR,2014
61489.0,35.6,29906.0,38066920.0,6115244.0,16.064457014121448,2084564.0,5.476051122601986,CA,2014
59448.0,36.2,31674.0,5197580.0,663861.0,12.772501818153833,219241.0,4.21813613258478,CO,2014
69899.0,40.3,38480.0,3592053.0,364740.0,10.154081802245123,186587.0,5.19443894619595,CT,2014
60231.0,39.1,30191.0,917060.0,107101.0,11.678734215863738,39819.0,4.342027784441585,DE,2014
69235.0,33.7,46502.0,633736.0,109378.0,17.259237284926215,38496.0,6.074453715742832,DC,2014
47212.0,41.2,26499.0,19361792.0,3159259.0,16.316976238563043,1024905.0,5.29344081374286,FL,2014
49342.0,35.8,25427.0,9907756.0,1781388.0,17.97973224209397,519291.0,5.2412574552703965,GA,2014
68201.0,38.2,29552.0,1392704.0,153752.0,11.039818942144203,46285.0,3.3233910436101284,HI,2014
47334.0,35.2,23087.0,1599464.0,244618.0,15.293748405715913,61837.0,3.866107646061431,ID,2014
57166.0,37.0,30019.0,12868747.0,1810470.0,14.068735674110307,669561.0,5.203000727265833,IL,2014
48737.0,37.2,24953.0,6542411.0,983826.0,15.037667306441007,290469.0,4.439785271821046,IN,2014
52716.0,38.0,27621.0,3078116.0,373867.0,12.145968508009446,89414.0,2.904828797875064,IA,2014
51872.0,36.0,27367.0,2882946.0,386062.0,13.391232440704751,97951.0,3.39760092627472,KS,2014
43342.0,38.3,23741.0,4383272.0,803866.0,18.339404901178845,192877.0,4.4002973121449,KY,2014
44991.0,36.0,24775.0,4601049.0,874638.0,19.00953456483511,189644.0,4.1217557126646565,LA,2014
48804.0,43.5,27332.0,1328535.0,179878.0,13.53957554750157,51931.0,3.908892125536776,ME,2014
74149.0,38.1,36670.0,5887776.0,573383.0,9.738532851793275,257918.0,4.380567467240602,MD,2014
67846.0,39.3,36441.0,6657291.0,742784.0,11.157451281609893,309050.0,4.642278668605593,MA,2014
49087.0,39.3,26143.0,9889024.0,1633316.0,16.516452988687256,554747.0,5.609724478371172,MI,2014
60828.0,37.6,31642.0,5383661.0,605761.0,11.251841451384104,192010.0,3.5665321423470013,MN,2014
39464.0,36.3,20956.0,2984345.0,653726.0,21.905175172441524,147210.0,4.932740685141966,MS,2014
47764.0,38.1,26006.0,6028076.0,912291.0,15.134032815777374,254534.0,4.222474965478206,MO,2014
46766.0,39.8,25977.0,1006370.0,150096.0,14.914594035990742,35284.0,3.5060663573039736,MT,2014
52400.0,36.2,27339.0,1855617.0,231762.0,12.489754081795974,54785.0,2.9523872652600187,NE,2014
52205.0,36.9,26515.0,2761584.0,423578.0,15.338226177440193,166167.0,6.017090191716059,NV,2014
65986.0,41.8,33821.0,1321069.0,113374.0,8.581989282921635,48029.0,3.6356163077023234,NH,2014
72062.0,39.3,36359.0,8874374.0,934665.0,10.532179509225102,453097.0,5.105678439966582,NJ,2014
44968.0,36.8,23948.0,2080085.0,426116.0,20.4855090056416,93106.0,4.476067083797057,NM,2014
58687.0,38.1,32829.0,19594330.0,2978521.0,15.200933127083195,893092.0,4.557910375093203,NY,2014
46693.0,37.8,25608.0,9750405.0,1669147.0,17.118745323912187,505668.0,5.186123037966116,NC,2014
55579.0,35.9,30894.0,704925.0,80865.0,11.471433131184169,12213.0,1.7325247366741143,ND,2014
48849.0,39.1,26520.0,11560380.0,1790564.0,15.488798811111744,536573.0,4.641482373416791,OH,2014
46235.0,36.2,24695.0,3818851.0,625508.0,16.379481681793813,124804.0,3.2681034164464653,OK,2014
50521.0,38.9,27173.0,3900343.0,638816.0,16.378456971604805,206222.0,5.287278580371009,OR,2014
53115.0,40.4,28912.0,12758729.0,1667858.0,13.072289567401269,556468.0,4.361468920611136,PA,2014
56423.0,39.7,30765.0,1053252.0,143996.0,13.671561981368182,53761.0,5.104286533517144,RI,2014
45033.0,38.3,24222.0,4727273.0,840141.0,17.772212436218513,242145.0,5.122297781405897,SC,2014
50338.0,36.8,26311.0,834708.0,114444.0,13.710662890495836,21364.0,2.5594579182181074,SD,2014
44621.0,38.3,24811.0,6451365.0,1121344.0,17.38149988413305,296819.0,4.60087128847926,TN,2014
52576.0,33.9,26513.0,26092033.0,4500034.0,17.24677413983035,982580.0,3.765823843623071,TX,2014
59846.0,29.9,24312.0,2858111.0,358682.0,12.549617562089086,95738.0,3.349694955864205,UT,2014
54447.0,42.2,29535.0,626358.0,72044.0,11.50204834934654,21643.0,3.4553721673547715,VT,2014
64792.0,37.6,33958.0,8185131.0,914237.0,11.169485253198758,293310.0,3.5834490614750085,VA,2014
60294.0,37.4,31233.0,6899123.0,916364.0,13.282325884029028,308955.0,4.4781778785506505,WA,2014
41576.0,41.6,23237.0,1853881.0,326225.0,17.596868407411264,67035.0,3.6159278831812833,WV,2014
52738.0,38.8,27907.0,5724692.0,738557.0,12.901253028110508,221662.0,3.872033639539036,WI,2014
58252.0,36.8,29381.0,575251.0,65271.0,11.346525255931759,15950.0,2.7727026984742307,WY,2014
19686.0,38.1,11331.0,3638965.0,1630965.0,44.819474768237676,242808.0,6.6724466984431015,PR,2014
72515.0,33.4,33413.0,733375.0,72957.0,9.948116584284984,31285.0,4.265893983296404,AK,2015
43623.0,38.4,24091.0,4830620.0,887260.0,18.367414534780213,207097.0,4.287172247040752,AL,2015
41371.0,37.7,22798.0,2958208.0,553644.0,18.71551966595993,104943.0,3.5475193089870625,AR,2015
50255.0,36.8,25848.0,6641928.0,1180690.0,17.776314347279886,275712.0,4.151083841920599,AZ,2015
61818.0,35.8,30318.0,38421464.0,6135142.0,15.968006841176068,1891081.0,4.921938945376991,CA,2015
60629.0,36.3,32217.0,5278906.0,653969.0,12.388343342351616,195578.0,3.7048964311923718,CO,2015
70331.0,40.4,38803.0,3593222.0,366351.0,10.195612739763922,172292.0,4.794916651406454,CT,2015
70848.0,33.7,47675.0,647484.0,110365.0,17.045208839137338,35811.0,5.530793038901347,DC,2015
60509.0,39.3,30554.0,926454.0,108315.0,11.691352188020128,36223.0,3.9098541319914437,DE,2015
47507.0,41.4,26829.0,19645772.0,3180109.0,16.187243748934883,915976.0,4.662458670496633,FL,2015
49620.0,35.9,25737.0,10006693.0,1788947.0,17.877504586180468,468932.0,4.686183537358446,GA,2015
69515.0,38.0,29822.0,1406299.0,153944.0,10.946747455555327,42288.0,3.0070418879626595,HI,2015
53183.0,38.1,27950.0,3093526.0,373883.0,12.085982144646595,81735.0,2.6421306948769785,IA,2015
47583.0,35.5,23399.0,1616547.0,245177.0,15.166710278142238,55312.0,3.4216140947340232,ID,2015
57574.0,37.3,30494.0,12873761.0,1801118.0,13.990612378154294,608516.0,4.726792737569077,IL,2015
49255.0,37.3,25346.0,6568645.0,978043.0,14.889570071148615,258739.0,3.9390011181910425,IN,2015
52205.0,36.0,27706.0,2892987.0,381353.0,13.181981115020564,88454.0,3.0575318865933374,KS,2015
43740.0,38.5,24063.0,4397353.0,805841.0,18.325592691785268,174308.0,3.9639301188692384,KY,2015
45047.0,36.1,24981.0,4625253.0,888280.0,19.20500348845782,178150.0,3.8516811945206015,LA,2015
68563.0,39.3,36895.0,6705586.0,748905.0,11.168375142754115,280164.0,4.178068851849786,MA,2015
74551.0,38.2,36897.0,5930538.0,576805.0,9.726014739303585,238027.0,4.0135819043735985,MD,2015
49331.0,43.8,27655.0,1329100.0,180278.0,13.563915431494994,47497.0,3.573621247460688,ME,2015
49576.0,39.5,26607.0,9900571.0,1616870.0,16.331078278212438,477746.0,4.825438856001336,MI,2015
61492.0,37.7,32157.0,5419171.0,596662.0,11.010208018901782,167764.0,3.0957502540517727,MN,2015
48173.0,38.2,26259.0,6045448.0,915972.0,15.151432945912365,226528.0,3.74708375624106,MO,2015
39665.0,36.5,21057.0,2988081.0,651545.0,21.804797125646857,138445.0,4.63324120062341,MS,2015
47169.0,39.7,26381.0,1014699.0,150586.0,14.840460077323424,32361.0,3.1892216312423685,MT,2015
46868.0,38.0,25920.0,9845333.0,1667465.0,16.936603363238195,453420.0,4.6054308168144225,NC,2015
57181.0,35.4,32035.0,721640.0,79758.0,11.052325259131978,11464.0,1.5886037359348149,ND,2015
52997.0,36.2,27882.0,1869365.0,231115.0,12.363289138290277,47602.0,2.5464261928515834,NE,2015
66779.0,42.2,34362.0,1324201.0,113840.0,8.596882195376685,42733.0,3.2270780644328165,NH,2015
72093.0,39.4,36582.0,8904413.0,944847.0,10.610997041579274,413343.0,4.642001668161618,NJ,2015
44963.0,37.0,24012.0,2084117.0,429361.0,20.601578510227593,88924.0,4.266747020440791,NM,2015
51847.0,37.2,26541.0,2798636.0,426337.0,15.233742437387354,148467.0,5.304977138863362,NV,2015
59269.0,38.1,33236.0,19673174.0,3005943.0,15.279400263526366,829141.0,4.2145766616002085,NY,2015
49429.0,39.2,26953.0,11575977.0,1775836.0,15.340700832422181,477251.0,4.122770803708404,OH,2015
46879.0,36.2,25032.0,3849733.0,624043.0,16.21003326724217,115978.0,3.0126245118817327,OK,2015
51243.0,39.1,27684.0,3939233.0,636947.0,16.16931519409997,184016.0,4.671366227892587,OR,2015
53599.0,40.5,29291.0,12779559.0,1666569.0,13.040896012139385,514993.0,4.029818243336879,PA,2015
19350.0,38.7,11394.0,3583073.0,1616117.0,45.10421640865258,235772.0,6.580161777334707,PR,2015
56852.0,39.7,31118.0,1053661.0,144223.0,13.687799016951372,48418.0,4.595216108406784,RI,2015
45483.0,38.6,24604.0,4777576.0,830901.0,17.391685658166402,217977.0,4.562501988456071,SC,2015
50957.0,36.8,26747.0,843190.0,114907.0,13.627652130599273,20220.0,2.3980360298390635,SD,2015
45219.0,38.4,25227.0,6499615.0,1117594.0,17.194772305744262,266297.0,4.09711959862238,TN,2015
53207.0,34.1,26999.0,26538614.0,4472451.0,16.852617095979465,912068.0,3.4367582270875188,TX,2015
60727.0,30.1,24686.0,2903379.0,351601.0,12.110062103500784,81870.0,2.819817874276834,UT,2015
65015.0,37.6,34152.0,8256630.0,921822.0,11.164627699194462,276030.0,3.3431315197604827,VA,2015
55176.0,42.4,29894.0,626604.0,69233.0,11.048924041340305,18957.0,3.0253557270620686,VT,2015
61062.0,37.4,31762.0,6985464.0,908512.0,13.005750226470282,277806.0,3.9769154919415515,WA,2015
53357.0,39.0,28340.0,5742117.0,724348.0,12.614650659330001,193763.0,3.3744174840045926,WI,2015
41751.0,41.8,23450.0,1851420.0,323384.0,17.466809259919412,63341.0,3.4212118265979625,WV,2015
58840.0,36.8,29803.0,579679.0,64995.0,11.212239877587423,15002.0,2.587984039442519,WY,2015
