state,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Count,Unemployment Rate,year
AL,4747424,37.7,42934,23483,813385,17.133186334315198,215543,4.54020959577236,2011
AK,700703,33.8,69014,31944,65111,9.29223936532311,30932,4.414423800097902,2011
AZ,6337373,35.7,50752,25784,1003575,15.835820299673067,268363,4.234609514068369,2011
AR,2895928,37.3,40149,21833,516822,17.846507233605255,114100,3.940015083247926,2011
CA,36969200,35.1,61632,29634,5211481,14.096818432641225,1868871,5.0552108241455045,2011
CO,4966061,35.9,57685,30816,607727,12.237606424890874,203279,4.093364942557089,2011
CT,3558172,39.8,69243,37627,326771,9.183676337175381,163634,4.598822091793202,2011
DE,890856,38.6,59317,29659,96805,10.866514902520722,35231,3.9547356699623735,2011
DC,593955,34.1,61835,43993,101833,17.14490154978071,33495,5.639316109806298,2011
FL,18688787,40.5,47827,26733,2679400,14.336939042646266,948078,5.072977716531308,2011
GA,9600612,35.2,49736,25383,1541462,16.055872271476026,469316,4.888396698043833,2011
HI,1346554,38.4,67116,29203,134387,9.9800676393223,43274,3.21368470926528,2011
ID,1549987,34.5,46890,22788,216734,13.982955986082464,59871,3.8626775579408084,2011
IL,12790182,36.4,56576,29376,1640428,12.825681448473524,622727,4.868789200966804,2011
IN,6454254,36.8,48393,24497,885150,13.71421081351927,294244,4.558915716673066,2011
IA,3032266,38,50451,26110,347536,11.46126362265052,90571,2.9869081406446534,2011
KS,2830985,36.1,50594,26545,347184,12.263717398714581,95489,3.3729956181329115,2011
KY,4316040,37.8,42248,23033,756947,17.537997794274382,182507,4.228575268069805,2011
LA,4484596,35.9,44086,23853,800705,17.854562596051014,172040,3.8362429971395415,2011
ME,1328543,42.4,47898,26195,165146,12.430610074344601,50266,3.7835433252819066,2011
MD,5736545,37.8,72419,35751,502610,8.761545494718511,227600,3.9675449246889896,2011
MA,6512227,38.9,65981,35051,673467,10.341577466510305,287476,4.414403859079236,2011
MI,9920621,38.5,48669,25482,1518458,15.306078117488815,601515,6.063279707994086,2011
MN,5278190,37.3,58476,30310,565154,10.70734475265195,201649,3.8204194998664316,2011
MS,2956700,35.9,38718,20521,617805,20.895085737477594,134828,4.560083877295634,2011
MO,5955802,37.7,47202,25371,828615,13.912735849848602,244812,4.1104791596496995,2011
MT,982854,39.8,45324,24640,139904,14.234464121832948,32646,3.3215513189141013,2011
NE,1813061,36.3,50695,26113,211752,11.679254035026952,54055,2.9814220260653115,2011
NV,2673396,36.1,55553,27625,340903,12.751683626368859,145293,5.43477285071123,2011
NH,1315911,40.7,64664,32357,101634,7.723470660249819,46668,3.5464404507599676,2011
NJ,8753064,38.7,71180,35678,805170,9.198721727614467,402751,4.6012573425716985,2011
NM,2037136,36.5,44631,23537,378301,18.570237824082437,78901,3.8731336543068307,2011
NY,19302448,37.8,56951,31796,2722107,14.102392608440132,803436,4.162352878764393,2011
NC,9418736,37.3,46291,25256,1473556,15.644944289764572,455742,4.8386747436174025,2011
ND,666783,37.1,49415,27305,78888,11.831135466861033,12772,1.915465751226411,2011
OH,11525536,38.5,48071,25618,1654193,14.352417102336933,545888,4.73633503899515,2011
OK,3714520,36.3,44287,23770,586046,15.777166363352466,116866,3.1461938554645013,2011
OR,3801991,38.2,49850,26561,550372,14.475889080221389,191276,5.03094299802393,2011
PA,12660739,39.9,51651,27824,1548869,12.233638178624487,508654,4.017569590527062,2011
RI,1053959,39.1,55975,29685,129454,12.282640975597722,50461,4.78775739853258,2011
SC,4575864,37.7,44587,23854,753705,16.47131558105748,227214,4.965488484797625,2011
SD,807697,37.1,48010,24925,107337,13.289265652837637,20958,2.5947849255351945,2011
TN,6297991,37.8,43989,24197,1036199,16.45284980559674,287097,4.558548908691677,2011
TX,24774187,33.5,50920,25548,4120101,16.630620411479093,890438,3.5942168354505437,2011
UT,2715379,29.1,57783,23650,304125,11.200093983197188,87453,3.220655385491307,2011
VT,624958,41.4,53422,28376,67761,10.842488615234943,22141,3.542798076030709,2011
VA,7926192,37.3,63302,33040,818422,10.325538417439295,265331,3.3475217355320184,2011
WA,6652845,37.1,58890,30481,816509,12.27308016344887,286062,4.29984465292668,2011
WV,1846372,41.1,39550,22010,313363,16.971823662837174,62164,3.3668188209093293,2011
WI,5664893,38.3,52374,27192,661655,11.679920521005428,219865,3.8811853992652643,2011
WY,554697,36.9,56380,28952,54900,9.897295280125906,14173,2.555088633974945,2011
PR,3742586,36.5,19122,10658,1676055,44.783339648040155,238059,6.3608157568055885,2011
AL,4777326.0,37.8,43160.0,23587.0,842292.0,17.631034599690288,230778.0,4.8306939907387525,2012
AK,711139.0,33.8,69917.0,32537.0,66631.0,9.369616910336799,31369.0,4.4110926274610165,2012
AZ,6410979.0,36.0,50256.0,25571.0,1074986.0,16.76789145620349,296132.0,4.619138512230347,2012
AR,2916372.0,37.4,40531.0,22007.0,530309.0,18.183859946536312,117354.0,4.023972250453646,2012
CA,37325068.0,35.2,61400.0,29551.0,5590100.0,14.976797898934839,2059444.0,5.517589412027327,2012
CO,5042853.0,36.1,58244.0,31039.0,633878.0,12.569829023372286,218419.0,4.3312585157647865,2012
CT,3572213.0,40.0,69519.0,37807.0,344616.0,9.647129104563474,177706.0,4.974675362303424,2012
DE,900131.0,38.7,60119.0,29733.0,100655.0,11.182261248640476,38591.0,4.287264853671299,2012
DC,605759.0,33.9,64267.0,45004.0,105606.0,17.43366586381713,36228.0,5.980596243720687,2012
FL,18885152.0,40.8,47309.0,26451.0,2887151.0,15.287941553237168,1049899.0,5.559388666821427,2012
GA,9714569.0,35.4,49604.0,25309.0,1645272.0,16.936129641984117,511530.0,5.265596445915408,2012
HI,1362730.0,38.4,67492.0,29227.0,143001.0,10.49371482245199,46224.0,3.392014559010222,2012
ID,1567803.0,34.7,47015.0,22581.0,231604.0,14.772519251462079,65289.0,4.164362486868567,2012
IL,12823860.0,36.6,56853.0,29519.0,1710465.0,13.33814467718768,663891.0,5.176998189312735,2012
IN,6485530.0,37.0,48374.0,24558.0,927123.0,14.295254204359551,309363.0,4.770049633568884,2012
IA,3047646.0,38.0,51129.0,26545.0,360670.0,11.834379714704397,91676.0,3.0080921471850735,2012
KS,2851183.0,36.0,51273.0,26845.0,365656.0,12.824711707386022,100505.0,3.525028032223817,2012
KY,4340167.0,38.0,42610.0,23210.0,781485.0,18.005873967522447,194610.0,4.483928844212676,2012
LA,4529605.0,35.9,44673.0,24264.0,821224.0,18.1301460061087,182864.0,4.037084911377482,2012
ME,1329084.0,42.8,48219.0,26464.0,171644.0,12.914458378853405,52318.0,3.9363952917949505,2012
MD,5785496.0,37.9,72999.0,36056.0,532116.0,9.197413670323167,246720.0,4.264457187421788,2012
MA,6560595.0,39.1,66658.0,35485.0,698286.0,10.64363826756567,305515.0,4.656818474543848,2012
MI,9897264.0,38.8,48471.0,25547.0,1582022.0,15.98443771935355,614849.0,6.212312816956282,2012
MN,5313081.0,37.4,59126.0,30656.0,582335.0,10.960401318933402,207462.0,3.904740018079905,2012
MS,2967620.0,36.0,38882.0,20670.0,640132.0,21.570551485702346,143126.0,4.822922072232968,2012
MO,5982413.0,37.9,47333.0,25546.0,869036.0,14.526512963916066,259574.0,4.338951523407027,2012
MT,990785.0,39.9,45456.0,25002.0,143119.0,14.445010774285036,35541.0,3.5871556392153696,2012
NE,1827306.0,36.3,51381.0,26523.0,220244.0,12.052934757506405,55912.0,3.0598049806655263,2012
NV,2704204.0,36.3,54083.0,27003.0,379197.0,14.022499781821194,166416.0,6.1539735907498105,2012
NH,1317474.0,41.1,64925.0,32758.0,107800.0,8.182324660676416,48926.0,3.713621672989372,2012
NJ,8793888.0,38.9,71637.0,35928.0,850559.0,9.67216093723277,443328.0,5.041319607436438,2012
NM,2055287.0,36.6,44886.0,23749.0,393139.0,19.128180151969044,88267.0,4.294631358053644,2012
NY,19398125.0,38.0,57683.0,32104.0,2814409.0,14.508665141605182,869729.0,4.483572510229726,2012
NC,9544249.0,37.4,46450.0,25285.0,1563464.0,16.3812155361831,497589.0,5.213495582523046,2012
ND,676253.0,36.9,51641.0,28700.0,78930.0,11.671667260625831,12709.0,1.8793262284973227,2012
OH,11533561.0,38.8,48246.0,25857.0,1723485.0,14.943216583325826,569218.0,4.9353187623492865,2012
OK,3749005.0,36.3,44891.0,24046.0,602598.0,16.0735448472328,122629.0,3.270974565251313,2012
OR,3836628.0,38.4,50036.0,26702.0,584059.0,15.223237697269582,210379.0,5.483434932967178,2012
PA,12699589.0,40.1,52267.0,28190.0,1604464.0,12.633983666715514,548580.0,4.319667353014338,2012
RI,1052471.0,39.4,56102.0,30005.0,133462.0,12.680824459771339,53904.0,5.121661309432754,2012
SC,4630351.0,37.9,44623.0,23906.0,787788.0,17.013569813605923,248835.0,5.373998645027126,2012
SD,815871.0,37.1,49091.0,25570.0,108319.0,13.276486111162182,21687.0,2.6581408090249563,2012
TN,6353226.0,38.0,44140.0,24294.0,1069017.0,16.82636506241081,304598.0,4.794383199968016,2012
TX,25208897.0,33.6,51563.0,25809.0,4270218.0,16.939328999598832,960408.0,3.80979778686866,2012
UT,2766233.0,29.3,58164.0,23794.0,329564.0,11.913819262513316,96504.0,3.48864321985892,2012
VT,625498.0,41.7,54168.0,28846.0,69411.0,11.096917975756917,22911.0,3.662841447934286,2012
VA,8014955.0,37.4,63636.0,33326.0,859032.0,10.717864292438323,286994.0,3.580731270481244,2012
WA,6738714.0,37.2,59374.0,30661.0,853960.0,12.67244759163247,309049.0,4.586171782924754,2012
WV,1850481.0,41.3,40400.0,22482.0,316526.0,17.105066196302474,65115.0,3.518814837871883,2012
WI,5687219.0,38.5,52627.0,27426.0,690832.0,12.14709684997184,230456.0,4.052173830478481,2012
WY,562803.0,36.9,56573.0,28858.0,60636.0,10.773929776493729,15537.0,2.760646265211806,2012
PR,3716727.0,37.0,19515.0,10850.0,1658412.0,44.620226344307774,242218.0,6.516970442004484,2012
AL,4799277.0,38.1,43253.0,23680.0,870631.0,18.140878303127742,241930.0,5.040967629082464,2013
AK,720316.0,33.6,70760.0,32651.0,69514.0,9.650486730823694,32939.0,4.572854136240205,2013
AZ,6479703.0,36.3,49774.0,25358.0,1131901.0,17.46840866008828,316360.0,4.882322538548449,2013
AR,2933369.0,37.5,40768.0,22170.0,547328.0,18.658682218295755,121235.0,4.132961110586496,2013
CA,37659181.0,35.4,61094.0,29527.0,5885417.0,15.628106729139967,2168665.0,5.75866214403335,2013
CO,5119329.0,36.1,58433.0,31109.0,660874.0,12.909387148198524,231741.0,4.526784662599336,2013
CT,3583561.0,40.2,69461.0,37892.0,354348.0,9.888153152688066,190709.0,5.321773509645852,2013
DE,908446.0,38.9,59878.0,29819.0,103633.0,11.40772263843971,41207.0,4.535987829766436,2013
DC,619371.0,33.8,65830.0,45290.0,109200.0,17.630789946574833,38994.0,6.295741970482958,2013
FL,19091156.0,41.0,46956.0,26236.0,3052807.0,15.990686996638653,1096028.0,5.741024797031673,2013
GA,9810417.0,35.6,49179.0,25182.0,1736680.0,17.702407553114206,544802.0,5.5533011491764315,2013
HI,1376298.0,38.3,67402.0,29305.0,149531.0,10.864725517293493,48748.0,3.5419654755002186,2013
ID,1583364.0,34.9,46767.0,22568.0,240298.0,15.176421846145296,67189.0,4.243433600864994,2013
IL,12848554.0,36.8,56797.0,29666.0,1772333.0,13.79402693875124,700616.0,5.452878199367804,2013
IN,6514861.0,37.1,48248.0,24635.0,969881.0,14.887209412449476,315476.0,4.842405693690164,2013
IA,3062553.0,38.1,51843.0,27027.0,367414.0,11.996984215456843,94913.0,3.0991463657935063,2013
KS,2868107.0,36.0,51332.0,26929.0,382820.0,13.34747971397162,104341.0,3.637974454927937,2013
KY,4361333.0,38.2,43036.0,23462.0,796202.0,18.255932303265997,201987.0,4.631313408079594,2013
LA,4567968.0,36.0,44874.0,24442.0,846780.0,18.53734527036967,192166.0,4.206815809567843,2013
ME,1328320.0,43.2,48453.0,26824.0,175624.0,13.221512888460612,53866.0,4.055197542760781,2013
MD,5834299.0,38.0,73538.0,36354.0,558329.0,9.569770078633269,260567.0,4.466123522294623,2013
MA,6605058.0,39.2,66866.0,35763.0,725351.0,10.981750652303129,322730.0,4.88610395245583,2013
MI,9886095.0,39.1,48411.0,25681.0,1625982.0,16.44716139183368,616469.0,6.235717945255432,2013
MN,5347740.0,37.6,59836.0,30913.0,598391.0,11.189605328606103,210815.0,3.9421325644103864,2013
MS,2976872.0,36.2,39031.0,20618.0,653321.0,21.946560013329428,149148.0,5.010225498442661,2013
MO,6007182.0,38.0,47380.0,25649.0,900929.0,14.997531288381142,267644.0,4.455400219270866,2013
MT,998554.0,39.9,46230.0,25373.0,148528.0,14.874308249729108,37702.0,3.775659603787076,2013
NE,1841625.0,36.3,51672.0,26899.0,228789.0,12.423213194868662,57525.0,3.1236000814498066,2013
NV,2730066.0,36.6,52800.0,26589.0,403314.0,14.773049442760724,175142.0,6.415302780225826,2013
NH,1319171.0,41.5,64916.0,33134.0,110859.0,8.403686860914924,51670.0,3.916853842299444,2013
NJ,8832406.0,39.1,71629.0,36027.0,900583.0,10.196349669614373,472094.0,5.345021503766924,2013
NM,2069706.0,36.7,44927.0,23763.0,413801.0,19.99322609104868,94111.0,4.547070936645108,2013
NY,19487053.0,38.1,58003.0,32382.0,2903982.0,14.902109621193107,921607.0,4.729329776031296,2013
NC,9651380.0,37.6,46334.0,25284.0,1643389.0,17.027502802708007,527430.0,5.464814358153964,2013
ND,689781.0,36.4,53741.0,29732.0,79433.0,11.515683963460866,12617.0,1.8291312749988764,2013
OH,11549590.0,39.0,48308.0,26046.0,1773853.0,15.358579828374861,582953.0,5.047391292677922,2013
OK,3785742.0,36.2,45339.0,24208.0,618683.0,16.34245017225157,127842.0,3.3769337688622203,2013
OR,3868721.0,38.7,50229.0,26809.0,614778.0,15.890988262012174,221191.0,5.717419271123454,2013
PA,12731381.0,40.3,52548.0,28502.0,1638820.0,12.872287774594131,581533.0,4.567713431873573,2013
RI,1051695.0,39.6,56361.0,30469.0,137244.0,13.04979105158815,56125.0,5.336623260546071,2013
SC,4679602.0,38.1,44779.0,23943.0,820308.0,17.529439469424965,258444.0,5.522777364399793,2013
SD,825198.0,36.9,49495.0,25740.0,112086.0,13.582921916921757,22250.0,2.6963225795506047,2013
TN,6402387.0,38.2,44298.0,24409.0,1101732.0,17.208144399893353,316682.0,4.94631143040869,2013
TX,25639373.0,33.8,51900.0,26019.0,4416829.0,17.226743415293345,1020132.0,3.978771243742973,2013
UT,2813673.0,29.6,58821.0,23873.0,350205.0,12.446542295426655,101449.0,3.6055717917469443,2013
VT,625904.0,42.0,54267.0,29167.0,70873.0,11.323301976021883,23546.0,3.761918760704517,2013
VA,8100653.0,37.5,63907.0,33493.0,887595.0,10.957079632962923,303129.0,3.7420316609043742,2013
WA,6819579.0,37.3,59478.0,30742.0,893211.0,13.09774401029741,327155.0,4.79729027261067,2013
WV,1853619.0,41.5,41043.0,22966.0,321546.0,17.346930518083813,69351.0,3.741383747145449,2013
WI,5706871.0,38.7,52413.0,27523.0,723730.0,12.68173049644893,239464.0,4.196064708664345,2013
WY,570134.0,36.8,57406.0,28902.0,63743.0,11.18035409219587,16760.0,2.9396597992752582,2013
PR,3682966.0,37.5,19624.0,11068.0,1644128.0,44.641411297307656,247824.0,6.728924459253765,2013
AL,4817678.0,38.2,43511.0,23936.0,889710.0,18.46761033012169,228716.0,4.747432269238417,2014
AK,728300.0,33.4,71829.0,33129.0,71866.0,9.867636962790058,32097.0,4.407112453659207,2014
AZ,6561516.0,36.5,49928.0,25537.0,1169309.0,17.820713993534422,304067.0,4.634096754469546,2014
AR,2947036.0,37.6,41264.0,22595.0,549303.0,18.639168303339357,115090.0,3.905279745479865,2014
CA,38066920.0,35.6,61489.0,29906.0,6115244.0,16.064457014121448,2084564.0,5.476051122601986,2014
CO,5197580.0,36.2,59448.0,31674.0,663861.0,12.772501818153833,219241.0,4.21813613258478,2014
CT,3592053.0,40.3,69899.0,38480.0,364740.0,10.154081802245123,186587.0,5.19443894619595,2014
DE,917060.0,39.1,60231.0,30191.0,107101.0,11.678734215863738,39819.0,4.342027784441585,2014
DC,633736.0,33.7,69235.0,46502.0,109378.0,17.259237284926215,38496.0,6.074453715742833,2014
FL,19361792.0,41.2,47212.0,26499.0,3159259.0,16.316976238563043,1024905.0,5.29344081374286,2014
GA,9907756.0,35.8,49342.0,25427.0,1781388.0,17.97973224209397,519291.0,5.2412574552703965,2014
HI,1392704.0,38.2,68201.0,29552.0,153752.0,11.039818942144203,46285.0,3.3233910436101284,2014
ID,1599464.0,35.2,47334.0,23087.0,244618.0,15.293748405715915,61837.0,3.8661076460614305,2014
IL,12868747.0,37.0,57166.0,30019.0,1810470.0,14.068735674110307,669561.0,5.203000727265833,2014
IN,6542411.0,37.2,48737.0,24953.0,983826.0,15.037667306441005,290469.0,4.439785271821046,2014
IA,3078116.0,38.0,52716.0,27621.0,373867.0,12.145968508009444,89414.0,2.904828797875064,2014
KS,2882946.0,36.0,51872.0,27367.0,386062.0,13.391232440704751,97951.0,3.39760092627472,2014
KY,4383272.0,38.3,43342.0,23741.0,803866.0,18.339404901178845,192877.0,4.4002973121449,2014
LA,4601049.0,36.0,44991.0,24775.0,874638.0,19.009534564835107,189644.0,4.121755712664656,2014
ME,1328535.0,43.5,48804.0,27332.0,179878.0,13.53957554750157,51931.0,3.9088921255367755,2014
MD,5887776.0,38.1,74149.0,36670.0,573383.0,9.738532851793275,257918.0,4.380567467240602,2014
MA,6657291.0,39.3,67846.0,36441.0,742784.0,11.157451281609893,309050.0,4.642278668605593,2014
MI,9889024.0,39.3,49087.0,26143.0,1633316.0,16.516452988687256,554747.0,5.609724478371172,2014
MN,5383661.0,37.6,60828.0,31642.0,605761.0,11.251841451384104,192010.0,3.5665321423470013,2014
MS,2984345.0,36.3,39464.0,20956.0,653726.0,21.905175172441524,147210.0,4.932740685141966,2014
MO,6028076.0,38.1,47764.0,26006.0,912291.0,15.134032815777372,254534.0,4.222474965478206,2014
MT,1006370.0,39.8,46766.0,25977.0,150096.0,14.914594035990739,35284.0,3.5060663573039736,2014
NE,1855617.0,36.2,52400.0,27339.0,231762.0,12.489754081795974,54785.0,2.9523872652600187,2014
NV,2761584.0,36.9,52205.0,26515.0,423578.0,15.338226177440193,166167.0,6.017090191716059,2014
NH,1321069.0,41.8,65986.0,33821.0,113374.0,8.581989282921635,48029.0,3.635616307702323,2014
NJ,8874374.0,39.3,72062.0,36359.0,934665.0,10.532179509225102,453097.0,5.105678439966582,2014
NM,2080085.0,36.8,44968.0,23948.0,426116.0,20.485509005641596,93106.0,4.476067083797056,2014
NY,19594330.0,38.1,58687.0,32829.0,2978521.0,15.200933127083191,893092.0,4.557910375093203,2014
NC,9750405.0,37.8,46693.0,25608.0,1669147.0,17.118745323912187,505668.0,5.186123037966115,2014
ND,704925.0,35.9,55579.0,30894.0,80865.0,11.471433131184169,12213.0,1.7325247366741143,2014
OH,11560380.0,39.1,48849.0,26520.0,1790564.0,15.488798811111746,536573.0,4.641482373416791,2014
OK,3818851.0,36.2,46235.0,24695.0,625508.0,16.379481681793816,124804.0,3.2681034164464653,2014
OR,3900343.0,38.9,50521.0,27173.0,638816.0,16.378456971604805,206222.0,5.287278580371009,2014
PA,12758729.0,40.4,53115.0,28912.0,1667858.0,13.072289567401267,556468.0,4.361468920611136,2014
RI,1053252.0,39.7,56423.0,30765.0,143996.0,13.671561981368182,53761.0,5.104286533517145,2014
SC,4727273.0,38.3,45033.0,24222.0,840141.0,17.772212436218513,242145.0,5.122297781405897,2014
SD,834708.0,36.8,50338.0,26311.0,114444.0,13.710662890495838,21364.0,2.5594579182181074,2014
TN,6451365.0,38.3,44621.0,24811.0,1121344.0,17.38149988413305,296819.0,4.60087128847926,2014
TX,26092033.0,33.9,52576.0,26513.0,4500034.0,17.246774139830347,982580.0,3.7658238436230707,2014
UT,2858111.0,29.9,59846.0,24312.0,358682.0,12.549617562089086,95738.0,3.3496949558642055,2014
VT,626358.0,42.2,54447.0,29535.0,72044.0,11.50204834934654,21643.0,3.4553721673547715,2014
VA,8185131.0,37.6,64792.0,33958.0,914237.0,11.169485253198758,293310.0,3.583449061475009,2014
WA,6899123.0,37.4,60294.0,31233.0,916364.0,13.282325884029028,308955.0,4.4781778785506505,2014
WV,1853881.0,41.6,41576.0,23237.0,326225.0,17.596868407411264,67035.0,3.615927883181283,2014
WI,5724692.0,38.8,52738.0,27907.0,738557.0,12.901253028110508,221662.0,3.8720336395390356,2014
WY,575251.0,36.8,58252.0,29381.0,65271.0,11.346525255931759,15950.0,2.772702698474231,2014
PR,3638965.0,38.1,19686.0,11331.0,1630965.0,44.81947476823767,242808.0,6.6724466984431015,2014
AK,733375.0,33.4,72515.0,33413.0,72957.0,9.948116584284984,31285.0,4.265893983296404,2015
AL,4830620.0,38.4,43623.0,24091.0,887260.0,18.367414534780213,207097.0,4.287172247040752,2015
AR,2958208.0,37.7,41371.0,22798.0,553644.0,18.71551966595993,104943.0,3.5475193089870625,2015
AZ,6641928.0,36.8,50255.0,25848.0,1180690.0,17.776314347279886,275712.0,4.151083841920599,2015
CA,38421464.0,35.8,61818.0,30318.0,6135142.0,15.968006841176068,1891081.0,4.92193894537699,2015
CO,5278906.0,36.3,60629.0,32217.0,653969.0,12.388343342351616,195578.0,3.704896431192372,2015
CT,3593222.0,40.4,70331.0,38803.0,366351.0,10.195612739763922,172292.0,4.794916651406454,2015
DC,647484.0,33.7,70848.0,47675.0,110365.0,17.045208839137338,35811.0,5.530793038901347,2015
DE,926454.0,39.3,60509.0,30554.0,108315.0,11.691352188020128,36223.0,3.909854131991443,2015
FL,19645772.0,41.4,47507.0,26829.0,3180109.0,16.187243748934886,915976.0,4.662458670496634,2015
GA,10006693.0,35.9,49620.0,25737.0,1788947.0,17.877504586180468,468932.0,4.686183537358446,2015
HI,1406299.0,38.0,69515.0,29822.0,153944.0,10.946747455555327,42288.0,3.0070418879626595,2015
IA,3093526.0,38.1,53183.0,27950.0,373883.0,12.085982144646595,81735.0,2.6421306948769785,2015
ID,1616547.0,35.5,47583.0,23399.0,245177.0,15.166710278142238,55312.0,3.421614094734023,2015
IL,12873761.0,37.3,57574.0,30494.0,1801118.0,13.990612378154294,608516.0,4.726792737569076,2015
IN,6568645.0,37.3,49255.0,25346.0,978043.0,14.889570071148617,258739.0,3.9390011181910425,2015
KS,2892987.0,36.0,52205.0,27706.0,381353.0,13.181981115020566,88454.0,3.0575318865933374,2015
KY,4397353.0,38.5,43740.0,24063.0,805841.0,18.325592691785264,174308.0,3.963930118869238,2015
LA,4625253.0,36.1,45047.0,24981.0,888280.0,19.20500348845782,178150.0,3.8516811945206024,2015
MA,6705586.0,39.3,68563.0,36895.0,748905.0,11.168375142754115,280164.0,4.178068851849786,2015
MD,5930538.0,38.2,74551.0,36897.0,576805.0,9.726014739303585,238027.0,4.013581904373599,2015
ME,1329100.0,43.8,49331.0,27655.0,180278.0,13.563915431494996,47497.0,3.5736212474606877,2015
MI,9900571.0,39.5,49576.0,26607.0,1616870.0,16.331078278212438,477746.0,4.825438856001336,2015
MN,5419171.0,37.7,61492.0,32157.0,596662.0,11.010208018901784,167764.0,3.0957502540517727,2015
MO,6045448.0,38.2,48173.0,26259.0,915972.0,15.151432945912363,226528.0,3.7470837562410595,2015
MS,2988081.0,36.5,39665.0,21057.0,651545.0,21.80479712564686,138445.0,4.63324120062341,2015
MT,1014699.0,39.7,47169.0,26381.0,150586.0,14.840460077323423,32361.0,3.1892216312423685,2015
NC,9845333.0,38.0,46868.0,25920.0,1667465.0,16.936603363238195,453420.0,4.605430816814423,2015
ND,721640.0,35.4,57181.0,32035.0,79758.0,11.052325259131978,11464.0,1.588603735934815,2015
NE,1869365.0,36.2,52997.0,27882.0,231115.0,12.363289138290275,47602.0,2.5464261928515834,2015
NH,1324201.0,42.2,66779.0,34362.0,113840.0,8.596882195376685,42733.0,3.2270780644328165,2015
NJ,8904413.0,39.4,72093.0,36582.0,944847.0,10.610997041579271,413343.0,4.642001668161618,2015
NM,2084117.0,37.0,44963.0,24012.0,429361.0,20.601578510227593,88924.0,4.266747020440791,2015
NV,2798636.0,37.2,51847.0,26541.0,426337.0,15.233742437387356,148467.0,5.304977138863361,2015
NY,19673174.0,38.1,59269.0,33236.0,3005943.0,15.279400263526364,829141.0,4.214576661600208,2015
OH,11575977.0,39.2,49429.0,26953.0,1775836.0,15.34070083242218,477251.0,4.122770803708404,2015
OK,3849733.0,36.2,46879.0,25032.0,624043.0,16.21003326724217,115978.0,3.012624511881733,2015
OR,3939233.0,39.1,51243.0,27684.0,636947.0,16.16931519409997,184016.0,4.671366227892587,2015
PA,12779559.0,40.5,53599.0,29291.0,1666569.0,13.040896012139386,514993.0,4.029818243336879,2015
PR,3583073.0,38.7,19350.0,11394.0,1616117.0,45.104216408652576,235772.0,6.580161777334707,2015
RI,1053661.0,39.7,56852.0,31118.0,144223.0,13.687799016951372,48418.0,4.595216108406784,2015
SC,4777576.0,38.6,45483.0,24604.0,830901.0,17.391685658166402,217977.0,4.562501988456071,2015
SD,843190.0,36.8,50957.0,26747.0,114907.0,13.627652130599271,20220.0,2.3980360298390635,2015
TN,6499615.0,38.4,45219.0,25227.0,1117594.0,17.194772305744262,266297.0,4.09711959862238,2015
TX,26538614.0,34.1,53207.0,26999.0,4472451.0,16.852617095979465,912068.0,3.4367582270875188,2015
UT,2903379.0,30.1,60727.0,24686.0,351601.0,12.110062103500782,81870.0,2.819817874276834,2015
VA,8256630.0,37.6,65015.0,34152.0,921822.0,11.164627699194465,276030.0,3.343131519760483,2015
VT,626604.0,42.4,55176.0,29894.0,69233.0,11.048924041340305,18957.0,3.025355727062068,2015
WA,6985464.0,37.4,61062.0,31762.0,908512.0,13.005750226470282,277806.0,3.976915491941552,2015
WI,5742117.0,39.0,53357.0,28340.0,724348.0,12.61465065933,193763.0,3.3744174840045926,2015
WV,1851420.0,41.8,41751.0,23450.0,323384.0,17.466809259919412,63341.0,3.4212118265979625,2015
WY,579679.0,36.8,58840.0,29803.0,64995.0,11.212239877587423,15002.0,2.587984039442519,2015
